"binAges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
0.5,-0.552395378746713,-0.889946488932079,-0.497042680259767,-0.543135882940797,-0.974716090672386,-0.896486316389371,-0.569587663735685,-0.468648261379517,-0.816751746786296,-0.942084728974081,-0.468533462131455,-1.1944643674093,-0.0275611194441094,0.0133911887449006,0.16259266120158,-0.367488277345153,-0.612928116955052,-0.28558867639562,-0.218294337299532,-0.109155223860504,-0.331489716348501,-0.810009885861148,-0.39836590876852,-0.979545112504253,-0.21997632102014,-0.466074129902738,-1.00117926489807,-0.347704945660241,-0.746890435447786,-0.36365173727356,-0.591441020152358,-0.178307813938362,-0.659528579035059,-0.407652362212659,-0.73515135144144,-0.574097774720531,-0.704182653971738,-0.158516289315689,-0.261357934636761,-0.755322963989898,-0.516899172356038,-1.03893350395824,-0.759696862866545,-0.600871579834522,-0.324020372788847,-0.478450463510053,0.338320936063446,-0.632458568908835,-0.251187802682898,-0.300752543503514
1.5,-0.317654899723885,-0.487773061631818,-0.344754207689545,-0.288445009153666,-0.806618422739487,-0.64586942946671,-0.398686713500175,-0.269116533465362,-0.464418923817053,-0.675474638568071,-0.243192039006767,-0.891025324271973,0.132753966539627,0.395036707978036,0.327757339449495,-0.164793586573384,-0.45027924552672,-0.0255775839233574,0.0312024641093746,0.0492608175474288,-0.143890638175728,-0.671873038724807,-0.228470615384617,-0.769968760626541,-0.108354023213596,-0.314943269797017,-0.810516511786447,-0.129815945584264,-0.314466457102454,-0.170659767201772,-0.305697866278816,-0.00567857330473264,-0.367904675835436,-0.190815616683115,-0.493506406319213,-0.443493018394876,-0.469403209383802,0.0607250859122404,-0.0671753174007506,-0.558974849875944,-0.347889101230582,-0.765983896448374,-0.502651916622615,-0.248488922807204,-0.178100859530544,-0.222492031527492,0.456929372650255,-0.431036106914727,-0.119803556762917,-0.149027863089443
2.5,-0.0865281620240082,-0.233904330893485,-0.157677556710025,-0.0702643311687272,-0.567437265030154,-0.467189185980628,-0.224075668731387,0.00225372093510807,-0.138729264264382,-0.384430359200281,-0.0220096942503558,-0.689908532066422,0.373179773649774,0.578648679212736,0.506492570091802,0.0931060280745248,-0.218194870064973,0.283945401749624,0.342560957451534,0.249769509156984,0.131122948095123,-0.490227730501749,-0.0481541774587634,-0.5327600408356,0.0820131982338305,-0.124375529062124,-0.623305502052394,0.112140068034651,-0.10552287275689,0.0108132846985555,-0.100280460624352,0.178284093564107,-0.0939591968222064,0.0384609132213215,-0.212304043704682,-0.263558841785452,-0.203661902979667,0.338807848040633,0.160556114846131,-0.391393074027631,-0.138577236454817,-0.539539053685859,-0.229765473006367,-0.0652929977860242,0.0388291921595404,-0.026796425812106,0.621373295972918,-0.241509837915193,0.0695662629689029,0.0468899656512587
3.5,0.186124017918905,-0.000259810832935259,0.0554832575168251,0.206642450341572,-0.367898491477775,-0.232796761989465,-0.00131934816428558,0.19788023211158,0.13224984487581,-0.166758688575558,0.202275951361375,-0.444234539474007,0.588183005374546,0.789177098837061,0.718961649608254,0.304359691124807,0.0140858218981826,0.519909295678298,0.606784057124122,0.490668195341141,0.34193277597363,-0.248370433819541,0.176611755217026,-0.270737476949774,0.281943015807574,0.157432484937562,-0.376939428243896,0.306491728681212,0.11267694936844,0.279178299760098,0.1255721309095,0.429115811494777,0.102879527832939,0.353144185055875,0.0388240412729628,-0.0828418722357363,0.0447557541591883,0.578518192500924,0.363586057276022,-0.146565107730331,0.0962504384884501,-0.25599534196717,0.00833223172082958,0.101784761875812,0.2635269177283,0.209133462649843,0.818887574009014,-0.0256725142584074,0.298041329635498,0.264293557270079
4.5,0.0709600717179105,-0.123667855553558,-0.0513327975295012,0.015857445109265,-0.487987765197447,-0.37331637687808,-0.17177887014886,-0.00285176890541132,-0.0562464247831364,-0.372410066300176,-0.00267976299452651,-0.609919654570823,0.292847600021387,0.618904157271135,0.555552087396882,0.0660161506854909,-0.0905251366744857,0.196961555862358,0.40426626723465,0.150544755567615,0.150860574893275,-0.330858573473978,-0.0426693570238469,-0.374741760491166,0.141784534875277,-0.0472532997421421,-0.473402299364421,0.0839656386114477,-0.188697346352647,0.120065360672823,-0.0336315219124484,0.292027101197383,-0.0472015184049342,0.152560724977964,-0.178895508067259,-0.153669984401137,-0.165178726355974,0.227322151896391,0.131825349889048,-0.383042043196365,0.0135407157345367,-0.388876617900371,-0.141143118047423,-0.0492294182708237,0.139141122961217,0.0454846944619551,0.672222852676825,-0.300082249911294,0.130301229369296,0.131446809537622
5.5,-0.0431505516609424,-0.160392442042628,-0.114426106881,-0.0814882697390786,-0.559755087920294,-0.443715594051836,-0.291093886148745,-0.0442596257358134,-0.177761412217023,-0.439399337248014,-0.0825181819998848,-0.688838400317099,0.231788179330384,0.601282584500558,0.492707449252913,0.0066111406113302,-0.174263648235721,0.137699071077865,0.337812204322317,0.0534963527261769,0.0872978267389777,-0.44703561161441,-0.104670406744077,-0.488143118259558,0.0871136843209717,-0.134329560236413,-0.575091459090425,0.0690799780093464,-0.262926179469618,-0.0377916121974311,-0.114041514945467,0.170107443573151,-0.0865786433541308,0.03578234038412,-0.278590497398247,-0.205904708396943,-0.2776591683904,0.198866229697527,0.0551892304248601,-0.478979599040414,-0.0576485959147415,-0.496791147909963,-0.209790938235755,-0.078277990576166,0.0691571987008145,-0.0706632096346511,0.633479760778744,-0.38697735838376,0.0535120147722274,0.0320261176082754
6.5,-0.287227032303317,-0.39629217740415,-0.328808531598339,-0.32181266114757,-0.77958347545367,-0.661742809464578,-0.503004818860368,-0.222176244160977,-0.418382373409848,-0.684312813502861,-0.317105043191154,-0.925860393859519,-0.00535247404631072,0.40135580404802,0.308916911274633,-0.211972351136385,-0.393779240992643,-0.0882727432112251,0.157082548083856,-0.143480231302634,-0.13290716667296,-0.709955871879556,-0.321367967784445,-0.716468662437242,-0.156891662338349,-0.401933738829495,-0.804909021891901,-0.141869253725843,-0.451004024539864,-0.252921572300064,-0.34230822299614,-0.0216904779594787,-0.330390011982455,-0.231558777287329,-0.49209072978875,-0.426811537539848,-0.488412858880278,-0.0351372698286404,-0.169729108473188,-0.69551951392879,-0.318952141085097,-0.730388818968484,-0.468342733850334,-0.265639011836062,-0.1643917321106,-0.287454814396979,0.420684531587234,-0.57456037054292,-0.153715073599546,-0.198303530426687
7.5,-0.380167951107797,-0.542042452028609,-0.45103707469184,-0.363104625952829,-0.947011585028689,-0.713899261846038,-0.546326415349865,-0.364866400446926,-0.545970718939824,-0.841793364758704,-0.360900860890531,-0.961577028150348,-0.118017286616306,0.276647921572412,0.190304804670883,-0.319266697599114,-0.549945619527865,-0.234734537464229,-0.0339984546677345,-0.204519941745726,-0.25954782843567,-0.800132481565633,-0.468194691152425,-0.856854470747497,-0.299545039816355,-0.547037597411932,-0.901391314886259,-0.273913524615022,-0.540628565959173,-0.296446652508712,-0.440862143302238,-0.103091721436823,-0.439744941107339,-0.351988108303912,-0.614113101488403,-0.564257446079362,-0.603026733864761,-0.216777253285614,-0.298764373378257,-0.768082199780832,-0.472651233161794,-0.838057828984339,-0.590792260800568,-0.401906847253046,-0.328229953506926,-0.356970205085904,0.268464674325843,-0.640223143107804,-0.250406217017181,-0.313434253614024
8.5,-0.137652093413878,-0.355014980397075,-0.304216793520716,-0.141896573905734,-0.786612424990955,-0.567805611444638,-0.371024974871914,-0.253189527465164,-0.394549724011534,-0.701598135254328,-0.143891266523609,-0.696030131755406,0.0431645361139375,0.473227035079361,0.303066016756455,-0.174492697783051,-0.418214772890455,-0.0797498961281127,0.126346647523917,-0.0367578155638038,-0.0975432465157144,-0.625388148531764,-0.289892444126273,-0.722520163876788,-0.174507265917571,-0.382729213434624,-0.72241882363963,-0.132337577387984,-0.337749557096299,-0.101903603150056,-0.235743432639057,0.0504869055760696,-0.262295424651429,-0.151813751931781,-0.489422269057482,-0.389703891279851,-0.480726498313928,-0.0704280289744904,-0.219579920397546,-0.600533948421416,-0.296705453558179,-0.677776941332125,-0.421396169368144,-0.186475086013674,-0.202788051269427,-0.171738877151332,0.445142709923898,-0.398660981838725,0.00717841852444764,-0.158992830176897
9.5,-0.158742931699773,-0.508394629475568,-0.348551270973092,-0.226853243104418,-0.78887832642038,-0.675200919671365,-0.403115522249768,-0.287537434180504,-0.452883325136903,-0.731803627058026,-0.18396537397167,-0.800386965354943,0.0293751911021788,0.234031475821213,0.230038874829117,-0.185774221493436,-0.423469941788755,-0.146368450381154,0.0838202206393935,-0.0819564167537637,-0.065368858903073,-0.63038297901448,-0.371780962647164,-0.762938911304707,-0.182646049821996,-0.427614087726787,-0.784051486236362,-0.16613028468177,-0.579681057955193,-0.162886996989541,-0.352496858783104,0.000804488514091718,-0.281104739075858,-0.219043802806539,-0.578573156171818,-0.359026574717134,-0.51566250152966,-0.108554600823298,-0.23900432837707,-0.661092690362436,-0.335297120207818,-0.805796064064637,-0.441158489479761,-0.339638012730683,-0.223966193819522,-0.275420715847273,0.42609451797104,-0.452327062660219,-0.0175224656639246,-0.183690159547134
