# Archive/proxy
#	Tree ring
#--------------------
# Contribution Date
#	Date: 2012-07-25 19:35:38
#--------------------
# Title
#	Study Name: Jämtland Sweden Tree ring Maximum density
#--------------------
#	Investigators: 
#--------------------
# Description and Notes
#--------------------
# Publication
#	Citation: Gunnarson, Björn E. and Linderholm, Hans W. and Moberg, Anders
#	Journal Name: Climate Dynamics
#	Published Title: Improving a tree-ring reconstruction from west-central Scandinavia: 900 years of warm-season temperatures
#	Published Date: 2010
#	DOI: 10.1007/s00382-010-0783-5
#	Abstract: Dendroclimatological sampling of Scots pine (Pinus sylvestris L.) has been made in the province of Jämtland, in the west-central Scandinavian mountains, since the 1970s. The tree-ring width (TRW) chronology spans several thousand years and has been used to reconstruct June–August temperatures back to 1632 bc. A maximum latewood density (MXD) dataset, covering the period ad 1107–1827 (with gap 1292–1315) was presented in the 1980s by Fritz Schweingruber. Here we combine these historical MXD data with recently collected MXD data covering ad 1292–2006 into a single reconstruction of April–September temperatures for the period ad 1107–2006. Regional curve standardization (RCS) provides more low-frequency variability than ”non-RCS„ and stronger correlation with local seasonal temperatures (51% variance explained). The MXD chronology shows a stronger relationship with temperatures than the TRW data, but the two chronologies show similar multi-decadal variations back to ad 1500. According to the MXD chronology, the period since ad 1930 and around ad 1150–1200 were the warmest during the last 900 years. Due to large uncertainties in the early part of the combined MXD chronology, it is not possible to conclude which period was the warmest. More sampling of trees growing near the tree-line is needed to further improve the MXD chronology.
#----------------------
#	Science Keywords: PAGES 2k Network, PAGES Arctic 2k, Arctic 2k, temperature, annual resolution
#-------------------- 
# Site Name
#	Region: Scandinavia
#	Country: Sweden
#	Northmost Latitude: 63.5
# 	Southmost Latitude: 63.5
# 	Eastmost Longitute: 15.5
# 	Westmost Longitute: 15.5
# 	Elevation: 
#------------------
# Data Collection  
#	Core Name: Jämtland
#	First Year: 1107
#	Last Year: 2007
#	Time Unit: AD
#------------------
#  Searchable Controlled Keywords
#	>tree-ring>density>reconstruction
#----------------
# Variables 
#	age_AD	Age (years AD)
#	temp.rcs.apr-sep	Tree Ring Standardized Growth Index
# 
age_AD	temp.rcs.apr-sep
2007	10.4393
2006	11.0141
2005	9.5673
2004	9.924
2003	10.4856
2002	10.1354
2001	9.3228
2000	9.1841
1999	9.8051
1998	9.0916
1997	10.2676
1996	9.4351
1995	9.3625
1994	9.8513
1993	9.2435
1992	9.1973
1991	9.8646
1990	9.7721
1989	9.9042
1988	9.924
1987	8.6093
1986	9.4219
1985	9.2898
1984	9.151
1983	9.2039
1982	9.4351
1981	9.3757
1980	9.9438
1979	9.0453
1978	9.4748
1977	8.9661
1976	9.858
1975	10.261
1974	9.6333
1973	9.8646
1972	10.2543
1971	8.6556
1970	9.2634
1969	9.7589
1968	9.8381
1967	9.9901
1966	9.3823
1965	9.5342
1964	9.6267
1963	9.858
1962	8.6423
1961	9.2964
1960	9.8844
1959	10.545
1958	9.2303
1957	9.6267
1956	9.4946
1955	10.2477
1954	9.858
1953	10.0628
1952	9.3757
1951	10.2543
1950	10.3799
1949	9.5078
1948	10.4459
1947	10.6441
1946	10.3402
1945	9.8315
1944	9.6598
1943	10.1288
1942	9.7919
1941	9.6003
1940	9.9901
1939	10.0826
1938	10.0297
1937	10.664
1936	9.924
1935	8.9727
1934	10.3138
1933	9.8844
1932	9.4153
1931	8.9859
1930	10.3931
1929	9.0321
1928	8.8471
1927	9.6267
1926	9.7258
1925	10.2742
1924	9.9306
1923	8.5168
1922	9.5607
1921	9.2501
1920	9.6399
1919	9.5739
1918	9.891
1917	9.3955
1916	9.0057
1915	8.7018
1914	9.5078
1913	8.8405
1912	9.0189
1911	8.7943
1910	9.5871
1909	8.2195
1908	9.27
1907	8.312
1906	9.0519
1905	8.0411
1904	8.1997
1903	8.497
1902	8.1336
1901	9.9174
1900	8.7547
1899	8.0081
1898	8.6556
1897	9.6399
1896	9.3426
1895	9.2568
1894	9.4153
1893	9.085
1892	8.5697
1891	8.7084
1890	8.8604
1889	9.3096
1888	8.5102
1887	9.0057
1886	9.1973
1885	8.3649
1884	9.3426
1883	9.3691
1882	9.3559
1881	8.1601
1880	9.0519
1879	9.6994
1878	9.1444
1877	8.4904
1876	8.7877
1875	9.4682
1874	8.7679
1873	8.8736
1872	9.4946
