# Archive/proxy
#	Lake sediment
#--------------------
# Contribution Date
#	Date: 2012-03-13 17:09:11
#--------------------
# Title
#	Study Name: Lake Lehmilampi Finland Lake sediment Varve thickness
#--------------------
#	Investigators: 
#--------------------
# Description and Notes
#--------------------
# Publication
#	Citation: Haltia-Hovi, Eeva and Saarinen, Timo and Kukkonen, Maaret
#	Journal Name: Quaternary Science Reviews
#	Published Title: A 2000-year record of solar forcing on varved lake sediment in eastern Finland
#	Published Date: 2007
#	DOI: 10.1016/j.quascirev.2006.11.005
#	Abstract: A high-resolution study was performed on varved sediments from Lake Lehmilampi in eastern Finland. Varve data was collected by digital image analysis using standard 1.8 mm thick samples impregnated in epoxy and X-rayed. Climatic variability is imprinted on varve properties (varve thickness and accumulation of mineral and organic matter) during the last 2000 years. The cumulative counting error of the varve record is estimated as 2.3%. Qualitative comparison of varve parameters and residual d14C constructed from tree-rings revealed close correspondence between the two records, suggesting solar forcing on lake sedimentation. Classical climatic periods of the last millennia, Medieval Climate Anomaly (1060–1280 in the varve record) and Little Ice Age (cooler phases culminating in 1340, 1465, 1545, 1680, 1850 and also in 1930 in the varve record) are clearly evident in the varve record. At present the physical link between solar activity levels and lake sedimentation has not been established.
#----------------------
#	Science Keywords: PAGES 2k Network, PAGES Arctic 2k, Arctic 2k, temperature, annual resolution
#-------------------- 
# Site Name
#	Region: Scandinavia
#	Country: Finland
#	Northmost Latitude: 63.62
# 	Southmost Latitude: 63.62
# 	Eastmost Longitute: 29.1
# 	Westmost Longitute: 29.1
# 	Elevation: 95
#------------------
# Data Collection  
#	Core Name: Lake Lehmilampi
#	First Year: 1
#	Last Year: 2004
#	Time Unit: AD
#------------------
#  Searchable Controlled Keywords
#	>paleolimnology>varve thickness
#----------------
# Variables 
#	age_AD	Age (years AD)
#	vt.mm	Varve thickness (mm)
# 
age_AD	vt.mm
2004	3.05
2003	4.22
2002	4.88
2001	4.62
2000	2.64
1999	1.98
1998	1.68
1997	1.42
1996	2.39
1995	1.24
1994	4.11
1993	2.01
1992	1.78
1991	1.83
1990	2.03
1989	1.47
1987	0.64
1986	1.24
1985	0.79
1984	0.81
1983	1.19
1982	1.02
1981	0.97
1980	0.94
1979	0.79
1978	0.66
1977	1.04
1976	0.74
1975	0.53
1974	0.86
1973	0.71
1972	0.81
1971	0.99
1970	0.69
1969	0.79
1968	0.89
1967	0.86
1966	0.86
1965	0.76
1964	0.46
1963	0.86
1962	1.02
1961	1.02
1960	0.86
1959	0.71
1958	1.24
1957	1.4
1956	1.14
1955	1.09
1954	0.74
1953	0.79
1952	0.74
1951	0.81
1950	0.99
1949	0.76
1948	0.86
1947	1.07
1946	1.12
1945	1.45
1944	1.4
1943	0.84
1942	0.64
1941	0.84
1940	0.74
1939	0.76
1938	0.81
1937	0.79
1936	1.17
1935	0.86
1934	1.3
1933	1.3
1932	0.99
1931	1.3
1930	1.22
1929	0.74
1928	1.07
1927	0.76
1926	0.97
1925	1.12
1924	1.27
1923	1.12
1922	1.12
1921	1.78
1920	2.21
1919	1.22
1918	1.37
1917	1.68
1916	1.19
1915	0.76
1914	0.86
1913	0.79
1912	1.17
1911	1.12
1910	1.35
1909	1.09
1908	1.14
1907	1.22
1906	0.79
1905	0.71
1904	1.02
1903	0.74
1902	0.48
1901	0.86
1900	0.74
1899	0.84
1898	0.53
1897	0.66
1896	0.61
1895	0.71
1894	0.61
1893	0.76
1892	0.81
1891	0.74
1890	0.69
1889	0.69
1888	0.81
1887	0.86
1886	0.64
1885	0.36
1884	0.69
1883	0.71
1882	0.69
1881	0.84
1880	0.66
1879	0.71
1878	0.86
1877	0.56
1876	0.91
1875	0.79
1874	1.14
1873	0.81
1872	0.53
1871	1.19
1870	0.74
1869	0.86
1868	0.89
1867	0.74
1866	0.89
1865	0.66
1864	1.24
1863	0.99
1862	1.02
1861	0.86
1860	0.84
1859	1.14
1858	0.81
1857	0.94
1856	0.81
1855	1.19
1854	1.3
1853	0.81
1852	1.17
1851	0.94
1850	1.22
1849	1.09
1848	0.89
1847	0.86
1846	0.79
1845	0.64
1844	0.79
1843	0.64
1842	0.99
1841	0.91
1840	1.17
1839	0.94
1838	0.84
1837	1.07
1836	1.02
1835	0.89
1834	1.02
1833	0.76
1832	0.99
1831	1.17
1830	0.89
1829	0.71
1828	0.91
1827	0.89
1826	0.43
1825	0.97
1824	1.02
1823	1.04
1822	0.89
1821	0.66
1820	0.69
1819	0.79
1818	0.66
1817	0.64
1816	1.02
1815	0.76
1814	0.64
1813	0.61
1812	0.84
1811	0.81
1810	0.66
1809	0.79
1808	0.99
1807	1.07
1806	0.66
1805	0.38
1804	0.64
1803	0.71
1802	0.81
1801	0.69
1800	0.97
1799	0.84
1798	1.12
1797	0.76
1796	0.97
1795	0.58
1794	1.22
1793	1.22
1792	1.88
1791	1.52
1790	1.45
1789	1.02
1788	0.36
1787	1.09
1786	0.86
1785	0.74
1784	0.79
1783	0.66
1782	0.76
1781	1.14
1780	0.53
1779	0.76
1778	0.74
1777	0.66
1776	0.58
1775	0.56
1774	0.76
1773	0.71
1772	0.64
1771	0.79
1770	0.74
1769	0.74
1768	0.66
1767	0.71
1766	0.99
1765	0.56
1764	0.48
1763	0.97
1762	0.58
1761	0.61
1760	0.53
1759	0.61
1758	0.81
1757	0.69
1756	0.43
1755	0.81
1754	0.79
1753	0.56
1752	0.99
1751	0.76
1750	0.64
1749	0.84
1748	0.71
1747	0.66
1746	0.91
1745	0.99
1744	1.27
1743	1.14
1742	0.79
1741	0.97
1740	0.74
1739	0.64
1738	0.69
1737	0.58
1736	0.64
1735	0.76
1734	0.79
1733	1.19
1732	0.69
1731	0.76
1730	0.81
1729	0.53
1728	0.41
1727	0.74
1726	0.64
1725	0.3
1724	0.97
1723	0.69
1722	0.61
1721	0.69
1720	0.56
1719	0.58
1718	0.86
1717	0.66
1716	0.56
1715	0.56
1714	0.76
1713	0.51
1712	0.53
1711	0.48
1710	0.76
1709	0.53
1708	0.66
1707	0.91
1706	0.69
1705	0.64
1704	1.02
1703	1.17
1702	0.86
1701	1.02
1700	0.89
1699	0.48
1698	0.74
1697	1.6
1696	0.84
1695	0.89
1694	0.91
1693	0.69
1692	0.61
1691	0.86
1690	0.71
1689	0.84
1688	1.14
1687	0.97
1686	1.09
1685	0.71
1684	0.76
1683	0.74
1682	0.81
1681	0.84
1680	0.56
1679	0.71
1678	0.58
1677	0.66
1676	0.84
1675	1.09
1674	0.94
1673	0.79
1672	0.53
1671	0.66
1670	0.66
1669	0.69
1668	0.97
1667	0.64
1666	0.79
1665	0.66
1664	0.81
1663	0.94
1662	0.99
1661	0.89
1660	0.69
1659	0.58
1658	0.89
1657	0.84
1656	0.81
1655	0.53
1654	0.58
1653	0.84
1652	0.91
1651	0.64
1650	0.69
1649	0.58
1648	0.84
1647	0.81
1646	0.69
1645	0.64
1644	0.81
1643	0.66
1642	0.51
1641	0.58
1640	0.58
1639	0.71
1638	1.04
1637	0.79
1636	0.81
1635	0.71
1634	0.91
1633	0.86
1632	0.81
1631	1.04
1630	0.76
1629	0.86
1628	1.57
1627	0.46
1626	0.84
1625	0.61
1624	0.48
1623	0.76
1622	0.74
1621	0.74
1620	0.64
1619	0.61
1618	0.51
1617	0.61
1616	0.58
1615	0.71
1614	0.58
1613	0.48
1612	0.79
1611	0.91
1610	0.64
1609	0.71
1608	0.86
1607	0.94
1606	0.94
1605	0.76
1604	0.38
1603	0.64
1602	0.84
1601	0.46
1600	0.69
1599	0.76
1598	0.97
1597	0.61
1596	0.71
