# Archive/proxy
#	Marine sediment
#--------------------
# Contribution Date
#	Date: 2012-05-28 17:29:22
#--------------------
# Title
#	Study Name: MD99-2275  North Iceland Shelf   Marine sediment Alkenone
#--------------------
#	Investigators: 
#--------------------
# Description and Notes
#--------------------
# Publication
#	Citation: Sicre, Marie-Alexandrine and Hall, Ian R and Mignot, Juliette and Khodri, Myriam and Ezat, Ullah and Truong, Minh Xuan and Eiríksson, Jon and Knudsen, Karen Luise
#	Journal Name: Paleoceanography
#	Published Title: Sea surface temperature variability in the subpolar Atlantic over the last two millennia
#	Published Date: 2011
#	DOI: 10.1029/2011PA002169
#	Abstract: A decadal resolution time series of sea surface temperature (SST) spanning the last two millennia is reconstructed by combining a proxy record from a new sediment sequence with previously published data from core MD99–2275, north of Iceland. The alkenone based SST reconstruction is validated with historic observational data and compared to a new similar temporal resolution reconstruction obtained from sediment core RAPiD21–3K, in the subpolar North Atlantic. The two SST paleorecords show consistent multidecadal scale coolings throughout the interval and similar expressions during the contrasted climatic periods ‘colloquially known’ as the Medieval Climatic Anomaly (MCA) and Little Ice Age (LIA). In order to further understand the temporal and spatial SST variations and investigate the influence of natural forcings on the observed SST changes during the last millennium, we compare our time series to simulations using the Institut Pierre-Simon Laplace IPSLCM4-v2 climate model. This comparison highlights the potential importance of volcanism as a natural forcing driving coherent abrupt cooling events captured in the subpolar North Atlantic records.
#----------------------
#	Science Keywords: PAGES 2k Network, PAGES Arctic 2k, Arctic 2k, temperature, decadal resolution
#-------------------- 
# Site Name
#	Region: North Atlantic
#	Country: North Iceland Shelf  
#	Northmost Latitude: 66.55
# 	Southmost Latitude: 66.55
# 	Eastmost Longitute: -17.37
# 	Westmost Longitute: -17.37
# 	Elevation: 
#------------------
# Data Collection  
#	Core Name: MD99-2275 
#	First Year: -2549
#	Last Year: 2001
#	Time Unit: AD
#------------------
#  Searchable Controlled Keywords
#	>paleocean>reconstruction>Sea Surface Temperature (C) 
#----------------
# Variables 
#	age_AD	Age (years AD)
#	sst	Sea Surface Temperature (C)
# 
age_AD	sst
2001	6.6
1998	6.3
1995	7
1993	7.3
1990	8.3
1987	6.9
1985	6.9
1982	6.2
1980	6
1977	6.6
1974	6.7
1972	6.3
1969	5.4
1967	6.2
1964	6.8
1960	7
1955	6.3
1950	6.8
1945	5.8
1942	6.8
1939	7.1
1936	6.9
1932	7
1929	7.2
1928	6.9
1925	6.5
1922	6.7
1918	6.7
1915	6.2
1912	6.7
1908	6.6
1905	6.8
1902	6.9
1898	7.1
1895	7
1893	7
1891	6.9
1889	8.3
1888	7.5
1886	6.9
1884	6.8
1883	7.2
1881	7.3
1880	7.1
1878	7.5
1876	6.9
1875	6.6
1872	7.5
1870	7.8
1868	6.5
1867	7.3
1865	7.7
1863	6.5
1860	7.7
1859	7.2
1857	7.9
1855	7.1
1854	6.5
1852	8.2
1850	6.3
1849	7.6
1847	7.1
1846	7
1844	6.9
1842	6.9
1841	7
1839	7.4
1837	6.4
1836	6.9
1834	7.3
1833	7.6
1831	8.1
1829	7.5
1828	7.8
1826	7
1825	7.2
1823	6.6
1821	7.2
1820	7.6
1818	7.9
1816	7.6
1815	7.7
1813	7.8
1812	7.6
1810	6.7
1808	7.1
1807	7.6
1805	7.1
1803	7.2
1802	7.6
1800	7.5
1798	8.2
1797	7.8
1795	7.6
1793	7.4
1791	7.5
1789	7.5
1787	7.4
1785	7.5
1783	7.3
1781	8.2
1779	7.3
1777	7.5
1776	7.6
1774	7
1772	6.6
1770	7.3
1768	7.2
1766	8.1
1764	6.8
1762	7.9
1760	8.5
1758	7.3
1756	6.5
1754	7
1752	7.9
1750	7.6
1748	7.3
1746	6.8
1744	6.8
1742	6.8
1740	7.2
1738	7
1737	7.5
1735	6.6
1733	7.3
1731	7.4
1729	7.3
1727	7.7
1725	7.8
1723	7.2
1721	7.8
1719	7.5
1717	7.5
1714	7.7
1711	7.6
1708	8.2
1705	8
1702	7.4
1699	8
1695	7.7
1692	7.8
1689	7.7
1686	7.8
1683	8
1680	6
1677	7
1674	7
1671	7.4
1668	7.6
1665	6.6
1662	8.1
1659	7.4
1655	7.6
1652	7.7
1649	8.1
1646	8.4
1643	8.2
1640	7.4
1637	7.8
1634	7.9
1631	7.7
1628	8.2
1625	7.8
1622	7.8
1619	7.4
1615	7.3
1612	7.5
1609	7.9
1606	8.8
1603	9.3
1600	8.7
1597	8.7
1594	8.3
1591	7.9
1588	6.7
1582	7.7
1579	7.7
1575	8.3
1572	7.9
1569	7.9
1566	7.7
1563	6.6
1560	8
1557	8.1
1554	8.3
1551	8.4
1548	8.3
1545	6.9
1542	5.9
1539	6.7
1535	8.2
1532	7.8
1529	7.8
1526	8.4
1523	8.3
1520	8.4
