# Archive/proxy
#	Ice core
#--------------------
# Contribution Date
#	Date: 2012-03-13 18:13:32
#--------------------
# Title
#	Study Name: Renland  Ice core d18O
#--------------------
#	Investigators: 
#--------------------
# Description and Notes
#--------------------
# Publication
#	Citation: Vinther, B. M. and Clausen, H. B. and Fisher, D. A. and Koerner, R. M. and Johnsen, S. J. and Andersen, K. K. and Dahl-Jensen, D. and Rasmussen, S. O. and Steffensen, J. P. and Svensson, A. M.
#	Journal Name: Journal of Geophysical Research
#	Published Title: Synchronizing ice cores from the Renland and Agassiz ice caps to the Greenland Ice Core Chronology
#	Published Date: 2008
#	DOI: 10.1029/2007JD009143
#	Abstract: 
#----------------------
#	Science Keywords: PAGES 2k Network, PAGES Arctic 2k, Arctic 2k, temperature, decadal resolution
#-------------------- 
# Site Name
#	Region: Greenland
#	Country: 
#	Northmost Latitude: 71.27
# 	Southmost Latitude: 71.27
# 	Eastmost Longitute: -26.73
# 	Westmost Longitute: -26.73
# 	Elevation: 2350
#------------------
# Data Collection  
#	Core Name: Renland
#	First Year: 0
#	Last Year: 1980
#	Time Unit: AD
#------------------
#  Searchable Controlled Keywords
#	>ice core>oxygen isotopes>delta 18O per mille 
#----------------
# Variables 
#	age_AD	Age (years AD)
#	d18OiceSMOW	delta18O ice (per mil SMOW)
# 
age_AD	d18OiceSMOW
1982.5	-27.75
1977.5	-27.2
1972.5	-27.05
1967.5	-27.25
1962.5	-27.1
1957.5	-27.03
1952.5	-26.86
1947.5	-26.2
1942.5	-26.83
1937.5	-26.96
1932.5	-26.51
1927.5	-26.97
1922.5	-27.35
1917.5	-27.78
1912.5	-27.89
1907.5	-28.06
1902.5	-27.65
1897.5	-27.16
1892.5	-27.67
1887.5	-28.33
1882.5	-27.54
1877.5	-28.13
1872.5	-27.13
1867.5	-27.49
1862.5	-26.3
1857.5	-27.64
1852.5	-28.21
1847.5	-27.36
1842.5	-27.74
1837.5	-28.64
1832.5	-26.97
1827.5	-27.36
1822.5	-28.22
1817.5	-27.26
1812.5	-27.67
1807.5	-27.48
1802.5	-27.61
1797.5	-27.81
1792.5	-27.01
1787.5	-26.86
1782.5	-27.87
1777.5	-27.98
1772.5	-27.16
1767.5	-27.46
1762.5	-27.32
1757.5	-28.04
1752.5	-27.6
1747.5	-27.45
1742.5	-27.96
1737.5	-27.53
1732.5	-26.88
1727.5	-28.35
1722.5	-27.97
1717.5	-28.29
1712.5	-27.31
1707.5	-28.3
1702.5	-28.27
1697.5	-27.1
1692.5	-27.11
1687.5	-27.07
1682.5	-27
1677.5	-26.23
1672.5	-27.66
1667.5	-27.18
1662.5	-27.8
1657.5	-26.52
1652.5	-28.04
1647.5	-27.62
1642.5	-27.21
1637.5	-27.9
1632.5	-28.03
1627.5	-27.35
1622.5	-27.28
1617.5	-26.99
1612.5	-27.55
1607.5	-28.26
1602.5	-27.47
1597.5	-27.52
1592.5	-27.16
1587.5	-27.61
1582.5	-27.06
1577.5	-27.85
1572.5	-27.76
1567.5	-27.66
1562.5	-27.21
1557.5	-27.07
1552.5	-27.23
1547.5	-26.65
1542.5	-27.47
1537.5	-26.77
1532.5	-27.82
1527.5	-26.36
1522.5	-27.26
1517.5	-27.99
1512.5	-27.62
1507.5	-27.35
1502.5	-27.01
1497.5	-27.65
1492.5	-26.52
1487.5	-26.79
1482.5	-28.31
1477.5	-27.14
1472.5	-27.06
1467.5	-27.42
1462.5	-28.44
1457.5	-25.98
1452.5	-26.51
1447.5	-27.54
1442.5	-26.73
1437.5	-27.12
1432.5	-28.13
1427.5	-27.45
1422.5	-27.67
1417.5	-26.5
1412.5	-26.35
1407.5	-26.71
1402.5	-27.32
1397.5	-26.33
1392.5	-27.15
1387.5	-26.48
1382.5	-27.05
1377.5	-26.78
1372.5	-28.44
1367.5	-27.71
1362.5	-27.42
1357.5	-27.55
1352.5	-27.17
1347.5	-28.48
1342.5	-27.51
1337.5	-27.49
1332.5	-26.75
1327.5	-25.95
1322.5	-27.88
1317.5	-26.68
1312.5	-27.44
1307.5	-26.89
1302.5	-27.71
1297.5	-28.03
1292.5	-27.41
1287.5	-27.62
1282.5	-27.78
1277.5	-26.82
